Date,Song,Artist
1963-08-14,Days Of Wine And Roses,Andy Williams
1963-08-14,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-08-14,West Side Story,Soundtrack
1963-08-14,(Moving),Peter| Paul & Mary
1963-08-14,Trini Lopez At PJ's,Trini Lopez
1963-08-14,Peter; Paul And Mary,Peter| Paul & Mary
1963-08-14,Live At The Apollo,James Brown
1963-08-14,Shut Down,Various Artists
1963-08-14,Cleopatra,Soundtrack
1963-08-14,Bye Bye Birdie,Soundtrack
1963-08-14,Lawrence Of Arabia,Soundtrack
1963-08-14,Call On Me/That's The Way Love Is,Bobby Bland
1963-08-14,How The West Was Won,Soundtrack
1963-08-14,I Love You Because,Al Martino
1963-08-14,Surfin' U.S.A.,The Beach Boys
1963-08-14,The Concert Sinatra,Frank Sinatra (Riddle)
1963-08-14,The Barbra Streisand Album,Barbra Streisand
1963-08-14,Broadway-My Way,Nancy Wilson
1963-08-14,Joan Baez In Concert,Joan Baez
1963-08-14,Moon River & Other Great Movie Themes,Andy Williams
1963-08-21,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-08-21,Trini Lopez At PJ's,Trini Lopez
1963-08-21,Days Of Wine And Roses,Andy Williams
1963-08-21,(Moving),Peter| Paul & Mary
1963-08-21,My Son; The Nut,Allan Sherman
1963-08-21,West Side Story,Soundtrack
1963-08-21,Shut Down,Various Artists
1963-08-21,Live At The Apollo,James Brown
1963-08-21,Bye Bye Birdie,Soundtrack
1963-08-21,Peter; Paul And Mary,Peter| Paul & Mary
1963-08-21,Call On Me/That's The Way Love Is,Bobby Bland
1963-08-21,I Love You Because,Al Martino
1963-08-21,Cleopatra,Soundtrack
1963-08-21,Surfin' U.S.A.,The Beach Boys
1963-08-21,The Barbra Streisand Album,Barbra Streisand
1963-08-21,The Concert Sinatra,Frank Sinatra (Riddle)
1963-08-21,Lawrence Of Arabia,Soundtrack
1963-08-21,How The West Was Won,Soundtrack
1963-08-21,Moon River & Other Great Movie Themes,Andy Williams
1963-08-21,Hobo Flats,Jimmy Smith
1963-08-28,My Son; The Nut,Allan Sherman
1963-08-28,Trini Lopez At PJ's,Trini Lopez
1963-08-28,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-08-28,(Moving),Peter| Paul & Mary
1963-08-28,Days Of Wine And Roses,Andy Williams
1963-08-28,West Side Story,Soundtrack
1963-08-28,Peter; Paul And Mary,Peter| Paul & Mary
1963-08-28,Bye Bye Birdie,Soundtrack
1963-08-28,Shut Down,Various Artists
1963-08-28,Cleopatra,Soundtrack
1963-08-28,Surfin' U.S.A.,The Beach Boys
1963-08-28,Live At The Apollo,James Brown
1963-08-28,I Love You Because,Al Martino
1963-08-28,The Barbra Streisand Album,Barbra Streisand
1963-08-28,Moon River & Other Great Movie Themes,Andy Williams
1963-08-28,Joan Baez In Concert,Joan Baez
1963-08-28,Lawrence Of Arabia,Soundtrack
1963-08-28,Hobo Flats,Jimmy Smith
1963-08-28,Uniquely Mancini,Henry Mancini
1963-08-28,So Much In Love,The Tymes
1963-09-04,My Son; The Nut,Allan Sherman
1963-09-04,Trini Lopez At PJ's,Trini Lopez
1963-09-04,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-09-04,(Moving),Peter| Paul & Mary
1963-09-04,Bye Bye Birdie,Soundtrack
1963-09-04,West Side Story,Soundtrack
1963-09-04,Peter; Paul And Mary,Peter| Paul & Mary
1963-09-04,Days Of Wine And Roses,Andy Williams
1963-09-04,Shut Down,Various Artists
1963-09-04,Lawrence Of Arabia,Soundtrack
1963-09-04,Live At The Apollo,James Brown
1963-09-04,Surfin' U.S.A.,The Beach Boys
1963-09-04,Cleopatra,Soundtrack
1963-09-04,Joan Baez In Concert,Joan Baez
1963-09-04,So Much In Love,The Tymes
1963-09-04,Sunny Side!,The Kingston Trio
1963-09-04,Oldies But Goodies; Vol. 5,Various Artists
1963-09-04,I Love You Because,Al Martino
1963-09-04,Moon River & Other Great Movie Themes,Andy Williams
1963-09-04,Hollywood-My Way,Nancy Wilson
1963-09-11,My Son; The Nut,Allan Sherman
1963-09-11,Trini Lopez At PJ's,Trini Lopez
1963-09-11,Bye Bye Birdie,Soundtrack
1963-09-11,(Moving),Peter| Paul & Mary
1963-09-11,Peter; Paul And Mary,Peter| Paul & Mary
1963-09-11,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-09-11,West Side Story,Soundtrack
1963-09-11,Days Of Wine And Roses,Andy Williams
1963-09-11,Sunny Side!,The Kingston Trio
1963-09-11,Live At The Apollo,James Brown
1963-09-11,Hollywood-My Way,Nancy Wilson
1963-09-11,Surfin' U.S.A.,The Beach Boys
1963-09-11,Shut Down,Various Artists
1963-09-11,Lawrence Of Arabia,Soundtrack
1963-09-11,So Much In Love,The Tymes
1963-09-11,Joan Baez In Concert,Joan Baez
1963-09-11,The Barbra Streisand Album,Barbra Streisand
1963-09-11,Cleopatra,Soundtrack
1963-09-11,Wipe Out,The Surfaris
1963-09-11,Joan Baez,Joan Baez
1963-09-18,My Son; The Nut,Allan Sherman
1963-09-18,Trini Lopez At PJ's,Trini Lopez
1963-09-18,Bye Bye Birdie,Soundtrack
1963-09-18,Peter; Paul And Mary,Peter| Paul & Mary
1963-09-18,(Moving),Peter| Paul & Mary
1963-09-18,West Side Story,Soundtrack
1963-09-18,Sunny Side!,The Kingston Trio
1963-09-18,Live At The Apollo,James Brown
1963-09-18,Ingredients In A Recipe For Soul,Ray Charles
1963-09-18,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-09-18,Hollywood-My Way,Nancy Wilson
1963-09-18,Days Of Wine And Roses,Andy Williams
1963-09-18,Shut Down,Various Artists
1963-09-18,Surfin' U.S.A.,The Beach Boys
1963-09-18,The Barbra Streisand Album,Barbra Streisand
1963-09-18,Wipe Out,The Surfaris
1963-09-18,Joan Baez In Concert,Joan Baez
1963-09-18,Lawrence Of Arabia,Soundtrack
1963-09-18,Ramblin' Featuring Green; Green,The New Christy Minstrels
1963-09-18,So Much In Love,The Tymes
1963-09-25,My Son; The Nut,Allan Sherman
1963-09-25,Trini Lopez At PJ's,Trini Lopez
1963-09-25,Bye Bye Birdie,Soundtrack
1963-09-25,Peter; Paul And Mary,Peter| Paul & Mary
1963-09-25,(Moving),Peter| Paul & Mary
1963-09-25,Ingredients In A Recipe For Soul,Ray Charles
1963-09-25,Sunny Side!,The Kingston Trio
1963-09-25,West Side Story,Soundtrack
1963-09-25,Live At The Apollo,James Brown
1963-09-25,Days Of Wine And Roses,Andy Williams
1963-09-25,Hollywood-My Way,Nancy Wilson
1963-09-25,Shut Down,Various Artists
1963-09-25,Joan Baez In Concert,Joan Baez
1963-09-25,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-09-25,Wipe Out,The Surfaris
1963-09-25,Surfin' U.S.A.,The Beach Boys
1963-09-25,Golden Records Vol. 3,Elvis Presley
1963-09-25,Ramblin' Featuring Green; Green,The New Christy Minstrels
1963-09-25,The Barbra Streisand Album,Barbra Streisand
1963-09-25,Blue Velvet,Bobby Vinton
1963-10-02,My Son; The Nut,Allan Sherman
1963-10-02,Bye Bye Birdie,Soundtrack
1963-10-02,Ingredients In A Recipe For Soul,Ray Charles
1963-10-02,Peter; Paul And Mary,Peter| Paul & Mary
1963-10-02,Trini Lopez At PJ's,Trini Lopez
1963-10-02,(Moving),Peter| Paul & Mary
1963-10-02,Live At The Apollo,James Brown
1963-10-02,West Side Story,Soundtrack
1963-10-02,Sunny Side!,The Kingston Trio
1963-10-02,Days Of Wine And Roses,Andy Williams
1963-10-02,Shut Down,Various Artists
1963-10-02,Golden Records Vol. 3,Elvis Presley
1963-10-02,Hollywood-My Way,Nancy Wilson
1963-10-02,The Second Barbra Streisand Album,Barbra Streisand
1963-10-02,Joan Baez In Concert,Joan Baez
1963-10-02,Blue Velvet,Bobby Vinton
1963-10-02,Ramblin' Featuring Green; Green,The New Christy Minstrels
1963-10-02,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder
1963-10-02,The Barbra Streisand Album,Barbra Streisand
1963-10-02,Wipe Out,The Surfaris
1963-10-09,My Son; The Nut,Allan Sherman
1963-10-09,Ingredients In A Recipe For Soul,Ray Charles
1963-10-09,Trini Lopez At PJ's,Trini Lopez
1963-10-09,Bye Bye Birdie,Soundtrack
1963-10-09,Peter; Paul And Mary,Peter| Paul & Mary
1963-10-09,Live At The Apollo,James Brown
1963-10-09,(Moving),Peter| Paul & Mary
1963-10-09,Shut Down,Various Artists
1963-10-09,Golden Records Vol. 3,Elvis Presley
1963-10-09,West Side Story,Soundtrack
1963-10-09,The Second Barbra Streisand Album,Barbra Streisand
1963-10-09,Days Of Wine And Roses,Andy Williams
1963-10-09,Blue Velvet,Bobby Vinton
1963-10-09,Hollywood-My Way,Nancy Wilson
1963-10-09,Ramblin' Featuring Green; Green,The New Christy Minstrels
1963-10-09,Sunny Side!,The Kingston Trio
1963-10-09,Golden Hits Of The 4 Seasons,The 4 Seasons
1963-10-09,The Barbra Streisand Album,Barbra Streisand
1963-10-09,Joan Baez In Concert,Joan Baez
1963-10-09,Johnny,Johnny Mathis
1963-10-16,My Son; The Nut,Allan Sherman
1963-10-16,Ingredients In A Recipe For Soul,Ray Charles
1963-10-16,Trini Lopez At PJ's,Trini Lopez
1963-10-16,Peter; Paul And Mary,Peter| Paul & Mary
1963-10-16,Bye Bye Birdie,Soundtrack
1963-10-16,(Moving),Peter| Paul & Mary
1963-10-16,Golden Records Vol. 3,Elvis Presley
1963-10-16,The Second Barbra Streisand Album,Barbra Streisand
1963-10-16,West Side Story,Soundtrack
1963-10-16,Shut Down,Various Artists
1963-10-16,Live At The Apollo,James Brown
1963-10-16,Days Of Wine And Roses,Andy Williams
1963-10-16,Blue Velvet,Bobby Vinton
1963-10-16,Hollywood-My Way,Nancy Wilson
1963-10-16,Golden Hits Of The 4 Seasons,The 4 Seasons
1963-10-16,Joan Baez In Concert,Joan Baez
1963-10-16,Ramblin' Featuring Green; Green,The New Christy Minstrels
1963-10-16,The Barbra Streisand Album,Barbra Streisand
1963-10-16,Sunny Side!,The Kingston Trio
1963-10-16,Johnny,Johnny Mathis
1963-10-23,Peter; Paul And Mary,Peter| Paul & Mary
1963-10-23,Bye Bye Birdie,Soundtrack
1963-10-23,My Son; The Nut,Allan Sherman
1963-10-23,(Moving),Peter| Paul & Mary
1963-10-23,The Second Barbra Streisand Album,Barbra Streisand
1963-10-23,Ingredients In A Recipe For Soul,Ray Charles
1963-10-23,Golden Records Vol. 3,Elvis Presley
1963-10-23,West Side Story,Soundtrack
1963-10-23,Trini Lopez At PJ's,Trini Lopez
1963-10-23,Blue Velvet,Bobby Vinton
1963-10-23,Days Of Wine And Roses,Andy Williams
1963-10-23,In The Wind,Peter| Paul & Mary
1963-10-23,Hollywood-My Way,Nancy Wilson
1963-10-23,Live At The Apollo,James Brown
1963-10-23,Shut Down,Various Artists
1963-10-23,Joan Baez In Concert,Joan Baez
1963-10-23,Golden Hits Of The 4 Seasons,The 4 Seasons
1963-10-23,The Barbra Streisand Album,Barbra Streisand
1963-10-23,Ramblin' Featuring Green; Green,The New Christy Minstrels
1963-10-23,I Left My Heart In San Francisco,Tony Bennett
1963-10-30,In The Wind,Peter| Paul & Mary
1963-10-30,Peter; Paul And Mary,Peter| Paul & Mary
1963-10-30,Ingredients In A Recipe For Soul,Ray Charles
1963-10-30,Golden Records Vol. 3,Elvis Presley
1963-10-30,The Second Barbra Streisand Album,Barbra Streisand
1963-10-30,(Moving),Peter| Paul & Mary
1963-10-30,Trini Lopez At PJ's,Trini Lopez
1963-10-30,Bye Bye Birdie,Soundtrack
1963-10-30,West Side Story,Soundtrack
1963-10-30,My Son; The Nut,Allan Sherman
1963-10-30,Shut Down,Various Artists
1963-10-30,Live At The Apollo,James Brown
1963-10-30,Days Of Wine And Roses,Andy Williams
1963-10-30,Blue Velvet,Bobby Vinton
1963-10-30,Painted; Tainted Rose,Al Martino
1963-10-30,Hollywood-My Way,Nancy Wilson
1963-10-30,The Barbra Streisand Album,Barbra Streisand
1963-10-30,Sinatra's Sinatra,Frank Sinatra
1963-10-30,Joan Baez In Concert,Joan Baez
1963-10-30,I Left My Heart In San Francisco,Tony Bennett
1963-11-06,In The Wind,Peter| Paul & Mary
1963-11-06,The Second Barbra Streisand Album,Barbra Streisand
1963-11-06,Ingredients In A Recipe For Soul,Ray Charles
1963-11-06,Golden Records Vol. 3,Elvis Presley
1963-11-06,Trini Lopez At PJ's,Trini Lopez
1963-11-06,Peter; Paul And Mary,Peter| Paul & Mary
1963-11-06,(Moving),Peter| Paul & Mary
1963-11-06,My Son; The Nut,Allan Sherman
1963-11-06,The Barbra Streisand Album,Barbra Streisand
1963-11-06,Bye Bye Birdie,Soundtrack
1963-11-06,West Side Story,Soundtrack
1963-11-06,Painted; Tainted Rose,Al Martino
1963-11-06,Blue Velvet,Bobby Vinton
1963-11-06,Sinatra's Sinatra,Frank Sinatra
1963-11-06,Shut Down,Various Artists
1963-11-06,Hollywood-My Way,Nancy Wilson
1963-11-06,Live At The Apollo,James Brown
1963-11-06,Days Of Wine And Roses,Andy Williams
1963-11-06,I Left My Heart In San Francisco,Tony Bennett
1963-11-06,Surfer Girl,The Beach Boys
1963-11-13,In The Wind,Peter| Paul & Mary
1963-11-13,The Second Barbra Streisand Album,Barbra Streisand
1963-11-13,Golden Records Vol. 3,Elvis Presley
1963-11-13,Trini Lopez At PJ's,Trini Lopez
1963-11-13,Ingredients In A Recipe For Soul,Ray Charles
1963-11-13,(Moving),Peter| Paul & Mary
1963-11-13,Bye Bye Birdie,Soundtrack
1963-11-13,Peter; Paul And Mary,Peter| Paul & Mary
1963-11-13,West Side Story,Soundtrack
1963-11-13,Painted; Tainted Rose,Al Martino
1963-11-13,Blue Velvet,Bobby Vinton
1963-11-13,The Barbra Streisand Album,Barbra Streisand
1963-11-13,Sinatra's Sinatra,Frank Sinatra
1963-11-13,Surfer Girl,The Beach Boys
1963-11-13,Mondo Cane,Soundtrack
1963-11-13,Live At The Apollo,James Brown
1963-11-13,My Son; The Nut,Allan Sherman
1963-11-13,Joan Baez In Concert,Joan Baez
1963-11-13,I Left My Heart In San Francisco,Tony Bennett
1963-11-13,Hollywood-My Way,Nancy Wilson
1963-11-20,In The Wind,Peter| Paul & Mary
1963-11-20,The Second Barbra Streisand Album,Barbra Streisand
1963-11-20,Golden Records Vol. 3,Elvis Presley
1963-11-20,Trini Lopez At PJ's,Trini Lopez
1963-11-20,Ingredients In A Recipe For Soul,Ray Charles
1963-11-20,Peter; Paul And Mary,Peter| Paul & Mary
1963-11-20,Surfer Girl,The Beach Boys
1963-11-20,The Singing Nun,The Singing Nun (Soeur Sourire)
1963-11-20,(Moving),Peter| Paul & Mary
1963-11-20,Painted; Tainted Rose,Al Martino
1963-11-20,West Side Story,Soundtrack
1963-11-20,The Barbra Streisand Album,Barbra Streisand
1963-11-20,Sinatra's Sinatra,Frank Sinatra
1963-11-20,Bye Bye Birdie,Soundtrack
1963-11-20,Blue Velvet,Bobby Vinton
1963-11-20,Live At The Apollo,James Brown
1963-11-20,Days Of Wine And Roses,Andy Williams
1963-11-20,Mondo Cane,Soundtrack
1963-11-20,Robert Goulet In Person,Robert Goulet
1963-11-20,I Left My Heart In San Francisco,Tony Bennett
1963-11-27,In The Wind,Peter| Paul & Mary
1963-11-27,The Singing Nun,The Singing Nun (Soeur Sourire)
1963-11-27,The Second Barbra Streisand Album,Barbra Streisand
1963-11-27,Trini Lopez At PJ's,Trini Lopez
1963-11-27,Peter; Paul And Mary,Peter| Paul & Mary
1963-11-27,Golden Records Vol. 3,Elvis Presley
1963-11-27,Surfer Girl,The Beach Boys
1963-11-27,Sinatra's Sinatra,Frank Sinatra
1963-11-27,Painted; Tainted Rose,Al Martino
1963-11-27,The Barbra Streisand Album,Barbra Streisand
1963-11-27,(Moving),Peter| Paul & Mary
1963-11-27,West Side Story,Soundtrack
1963-11-27,Ingredients In A Recipe For Soul,Ray Charles
1963-11-27,Bye Bye Birdie,Soundtrack
1963-11-27,Mondo Cane,Soundtrack
1963-11-27,Robert Goulet In Person,Robert Goulet
1963-11-27,Lawrence Of Arabia,Soundtrack
1963-11-27,Live At The Apollo,James Brown
1963-11-27,Joan Baez In Concert,Joan Baez
1963-11-27,Washington Square,The Village Stompers
1963-12-04,The Singing Nun,The Singing Nun (Soeur Sourire)
1963-12-04,In The Wind,Peter| Paul & Mary
1963-12-04,The Second Barbra Streisand Album,Barbra Streisand
1963-12-04,Peter; Paul And Mary,Peter| Paul & Mary
1963-12-04,Trini Lopez At PJ's,Trini Lopez
1963-12-04,Golden Records Vol. 3,Elvis Presley
1963-12-04,West Side Story,Soundtrack
1963-12-04,Sinatra's Sinatra,Frank Sinatra
1963-12-04,The Barbra Streisand Album,Barbra Streisand
1963-12-04,Ingredients In A Recipe For Soul,Ray Charles
1963-12-04,Live At The Apollo,James Brown
1963-12-04,(Moving),Peter| Paul & Mary
1963-12-04,Surfer Girl,The Beach Boys
1963-12-04,Painted; Tainted Rose,Al Martino
1963-12-04,Washington Square,The Village Stompers
1963-12-04,Robert Goulet In Person,Robert Goulet
1963-12-04,Bye Bye Birdie,Soundtrack
1963-12-04,Joan Baez In Concert,Joan Baez
1963-12-04,Days Of Wine And Roses,Andy Williams
1963-12-04,Bach's Greatest Hits,Swingle Singers
1963-12-11,The Singing Nun,The Singing Nun (Soeur Sourire)
1963-12-11,In The Wind,Peter| Paul & Mary
1963-12-11,The Second Barbra Streisand Album,Barbra Streisand
1963-12-11,Trini Lopez At PJ's,Trini Lopez
1963-12-11,Golden Records Vol. 3,Elvis Presley
1963-12-11,Ingredients In A Recipe For Soul,Ray Charles
1963-12-11,Peter; Paul And Mary,Peter| Paul & Mary
1963-12-11,Surfer Girl,The Beach Boys
1963-12-11,West Side Story,Soundtrack
1963-12-11,(Moving),Peter| Paul & Mary
1963-12-11,Washington Square,The Village Stompers
1963-12-11,The Barbra Streisand Album,Barbra Streisand
1963-12-11,Painted; Tainted Rose,Al Martino
1963-12-11,Live At The Apollo,James Brown
1963-12-11,Days Of Wine And Roses,Andy Williams
1963-12-11,Bye Bye Birdie,Soundtrack
1963-12-11,Bach's Greatest Hits,Swingle Singers
1963-12-11,Joan Baez In Concert,Joan Baez
1963-12-11,Robert Goulet In Person,Robert Goulet
1963-12-11,Ramblin' Featuring Green; Green,The New Christy Minstrels
1963-12-25,The Singing Nun,The Singing Nun (Soeur Sourire)
1963-12-25,In The Wind,Peter| Paul & Mary
1963-12-25,The Second Barbra Streisand Album,Barbra Streisand
1963-12-25,Trini Lopez At PJ's,Trini Lopez
1963-12-25,Washington Square,The Village Stompers
1963-12-25,Golden Records Vol. 3,Elvis Presley
1963-12-25,Peter; Paul And Mary,Peter| Paul & Mary
1963-12-25,West Side Story,Soundtrack
1963-12-25,Ingredients In A Recipe For Soul,Ray Charles
1963-12-25,(Moving),Peter| Paul & Mary
1963-12-25,Joan Baez In Concert; Part 2,Joan Baez
1963-12-25,Maria Elena,Los Indios Tabajaras
1963-12-25,Little Deuce Coupe,The Beach Boys
1963-12-25,Painted; Tainted Rose,Al Martino
1963-12-25,Days Of Wine And Roses,Andy Williams
1963-12-25,Surfer Girl,The Beach Boys
1963-12-25,More Trini Lopez At PJ's,Trini Lopez
1963-12-25,Joan Baez In Concert,Joan Baez
1963-12-25,The Barbra Streisand Album,Barbra Streisand
1963-12-25,Hollywood-My Way,Nancy Wilson
1964-01-01,The Singing Nun,The Singing Nun (Soeur Sourire)
1964-01-01,In The Wind,Peter| Paul & Mary
1964-01-01,The Second Barbra Streisand Album,Barbra Streisand
1964-01-01,Golden Records Vol. 3,Elvis Presley
1964-01-01,Trini Lopez At PJ's,Trini Lopez
1964-01-01,West Side Story,Soundtrack
1964-01-01,Maria Elena,Los Indios Tabajaras
1964-01-01,Joan Baez In Concert; Part 2,Joan Baez
1964-01-01,Peter; Paul And Mary,Peter| Paul & Mary
1964-01-01,Little Deuce Coupe,The Beach Boys
1964-01-01,More Trini Lopez At PJ's,Trini Lopez
1964-01-01,(Moving),Peter| Paul & Mary
1964-01-01,Washington Square,The Village Stompers
1964-01-01,Ingredients In A Recipe For Soul,Ray Charles
1964-01-01,The Barbra Streisand Album,Barbra Streisand
1964-01-01,Bach's Greatest Hits,Swingle Singers
1964-01-01,Joan Baez In Concert,Joan Baez
1964-01-01,Fun In Acapulco,Elvis Presley
1964-01-01,Sinatra's Sinatra,Frank Sinatra
1964-01-01,Catch A Rising Star,John Gary
1964-01-08,The Singing Nun,The Singing Nun (Soeur Sourire)
1964-01-08,In The Wind,Peter| Paul & Mary
1964-01-08,The Second Barbra Streisand Album,Barbra Streisand
1964-01-08,Fun In Acapulco,Elvis Presley
1964-01-08,West Side Story,Soundtrack
1964-01-08,Peter; Paul And Mary,Peter| Paul & Mary
1964-01-08,Maria Elena,Los Indios Tabajaras
1964-01-08,Joan Baez In Concert; Part 2,Joan Baez
1964-01-08,Little Deuce Coupe,The Beach Boys
1964-01-08,(Moving),Peter| Paul & Mary
1964-01-08,More Trini Lopez At PJ's,Trini Lopez
1964-01-08,Joan Baez In Concert,Joan Baez
1964-01-08,Trini Lopez At PJ's,Trini Lopez
1964-01-08,The Barbra Streisand Album,Barbra Streisand
1964-01-08,Bach's Greatest Hits,Swingle Singers
1964-01-08,Washington Square,The Village Stompers
1964-01-08,I Left My Heart In San Francisco,Tony Bennett
1964-01-08,Surfer Girl,The Beach Boys
1964-01-08,Golden Records Vol. 3,Elvis Presley
1964-01-08,Bye Bye Birdie,Soundtrack
1964-01-15,The Singing Nun,The Singing Nun (Soeur Sourire)
1964-01-15,In The Wind,Peter| Paul & Mary
1964-01-15,Fun In Acapulco,Elvis Presley
1964-01-15,Peter; Paul And Mary,Peter| Paul & Mary
1964-01-15,West Side Story,Soundtrack
1964-01-15,The Second Barbra Streisand Album,Barbra Streisand
1964-01-15,Joan Baez In Concert; Part 2,Joan Baez
1964-01-15,(Moving),Peter| Paul & Mary
1964-01-15,Little Deuce Coupe,The Beach Boys
1964-01-15,The Presidential Years 1960-1963  (narrated by David Teig),John Fitzgerald Kennedy
1964-01-15,Surfer Girl,The Beach Boys
1964-01-15,Washington Square,The Village Stompers
1964-01-15,Bye Bye Birdie,Soundtrack
1964-01-15,Maria Elena,Los Indios Tabajaras
1964-01-15,My Son; The Nut,Allan Sherman
1964-01-15,Golden Records Vol. 3,Elvis Presley
1964-01-15,Days Of Wine And Roses,Andy Williams
1964-01-15,Shut Down,Various Artists
1964-01-15,Bach's Greatest Hits,Swingle Singers
1964-01-15,Curb Your Tongue; Knave!,The Smothers Brothers
1964-01-22,The Singing Nun,The Singing Nun (Soeur Sourire)
1964-01-22,In The Wind,Peter| Paul & Mary
1964-01-22,Fun In Acapulco,Elvis Presley
1964-01-22,West Side Story,Soundtrack
1964-01-22,Peter; Paul And Mary,Peter| Paul & Mary
1964-01-22,The Second Barbra Streisand Album,Barbra Streisand
1964-01-22,Joan Baez In Concert; Part 2,Joan Baez
1964-01-22,(Moving),Peter| Paul & Mary
1964-01-22,Little Deuce Coupe,The Beach Boys
1964-01-22,The Presidential Years 1960-1963  (narrated by David Teig),John Fitzgerald Kennedy
1964-01-22,Bye Bye Birdie,Soundtrack
1964-01-22,That Was The Week That Was (BBC Telecast Tribute on 11/23/1963),John Fitzgerald Kennedy
1964-01-22,Trini Lopez At PJ's,Trini Lopez
1964-01-22,Surfer Girl,The Beach Boys
1964-01-22,Bach's Greatest Hits,Swingle Singers
1964-01-22,The Barbra Streisand Album,Barbra Streisand
1964-01-22,Shut Down,Various Artists
1964-01-22,Curb Your Tongue; Knave!,The Smothers Brothers
1964-01-22,Washington Square,The Village Stompers
1964-01-22,Days Of Wine And Roses,Andy Williams
1964-01-29,The Singing Nun,The Singing Nun (Soeur Sourire)
1964-01-29,In The Wind,Peter| Paul & Mary
1964-01-29,Fun In Acapulco,Elvis Presley
1964-01-29,Peter; Paul And Mary,Peter| Paul & Mary
1964-01-29,Little Deuce Coupe,The Beach Boys
1964-01-29,That Was The Week That Was (BBC Telecast Tribute on 11/23/1963),John Fitzgerald Kennedy
1964-01-29,West Side Story,Soundtrack
1964-01-29,The Presidential Years 1960-1963  (narrated by David Teig),John Fitzgerald Kennedy
1964-01-29,Joan Baez In Concert; Part 2,Joan Baez
1964-01-29,(Moving),Peter| Paul & Mary
1964-01-29,The Second Barbra Streisand Album,Barbra Streisand
1964-01-29,Trini Lopez At PJ's,Trini Lopez
1964-01-29,Curb Your Tongue; Knave!,The Smothers Brothers
1964-01-29,Shut Down,Various Artists
1964-01-29,Surfer Girl,The Beach Boys
1964-01-29,Washington Square,The Village Stompers
1964-01-29,Bye Bye Birdie,Soundtrack
1964-01-29,A Memorial Album,John Fitzgerald Kennedy
1964-01-29,Bach's Greatest Hits,Swingle Singers
1964-01-29,More Trini Lopez At PJ's,Trini Lopez
1964-02-05,The Singing Nun,The Singing Nun (Soeur Sourire)
1964-02-05,In The Wind,Peter| Paul & Mary
1964-02-05,Meet The Beatles!,The Beatles
1964-02-05,Little Deuce Coupe,The Beach Boys
1964-02-05,That Was The Week That Was (BBC Telecast Tribute on 11/23/1963),John Fitzgerald Kennedy
1964-02-05,Peter; Paul And Mary,Peter| Paul & Mary
1964-02-05,Fun In Acapulco,Elvis Presley
1964-02-05,The Presidential Years 1960-1963  (narrated by David Teig),John Fitzgerald Kennedy
1964-02-05,West Side Story,Soundtrack
1964-02-05,The Second Barbra Streisand Album,Barbra Streisand
1964-02-05,(Moving),Peter| Paul & Mary
1964-02-05,Joan Baez In Concert; Part 2,Joan Baez
1964-02-05,Curb Your Tongue; Knave!,The Smothers Brothers
1964-02-05,Washington Square,The Village Stompers
1964-02-05,The Barbra Streisand Album,Barbra Streisand
1964-02-05,Honey In The Horn,Al Hirt
1964-02-05,Trini Lopez At PJ's,Trini Lopez
1964-02-05,A Memorial Album,John Fitzgerald Kennedy
1964-02-05,Bach's Greatest Hits,Swingle Singers
1964-02-05,More Trini Lopez At PJ's,Trini Lopez
1964-02-12,Meet The Beatles!,The Beatles
1964-02-12,The Singing Nun,The Singing Nun (Soeur Sourire)
1964-02-12,In The Wind,Peter| Paul & Mary
1964-02-12,Little Deuce Coupe,The Beach Boys
1964-02-12,West Side Story,Soundtrack
1964-02-12,Peter; Paul And Mary,Peter| Paul & Mary
1964-02-12,(Moving),Peter| Paul & Mary
1964-02-12,Joan Baez In Concert; Part 2,Joan Baez
1964-02-12,The Second Barbra Streisand Album,Barbra Streisand
1964-02-12,Honey In The Horn,Al Hirt
1964-02-12,Fun In Acapulco,Elvis Presley
1964-02-12,Charade,Henry Mancini
1964-02-12,That Was The Week That Was (BBC Telecast Tribute on 11/23/1963),John Fitzgerald Kennedy
1964-02-12,The Barbra Streisand Album,Barbra Streisand
1964-02-12,Washington Square,The Village Stompers
1964-02-12,Surfer Girl,The Beach Boys
1964-02-12,Trini Lopez At PJ's,Trini Lopez
1964-02-12,Bye Bye Birdie,Soundtrack
1964-02-12,Yesterday's Love Songs/Today's Blues,Nancy Wilson
1964-02-12,"Rick Nelson Sings ""For You""",Rick Nelson
1964-02-19,Meet The Beatles!,The Beatles
1964-02-19,The Singing Nun,The Singing Nun (Soeur Sourire)
1964-02-19,Introducing...The Beatles,The Beatles
1964-02-19,In The Wind,Peter| Paul & Mary
1964-02-19,Honey In The Horn,Al Hirt
1964-02-19,Charade,Henry Mancini
1964-02-19,Joan Baez In Concert; Part 2,Joan Baez
1964-02-19,Peter; Paul And Mary,Peter| Paul & Mary
1964-02-19,Fun In Acapulco,Elvis Presley
1964-02-19,Little Deuce Coupe,The Beach Boys
